"slug","land","name"
"Szamocin","WI","Szamocin"
"Szamotuły","WI","Szamotuly"
"Szczawnica","MP","Szczawnica"
"Szczawno-Zdroj","DS","Szczawno-Zdrój"
"Szczebrzeszyn","LUBE","Szczebrzeszyn"
"Szczecin","ZA","Szczecin"
"Szczecinek","ZA","Szczecinek"
"Szczekociny","POM","Szczekociny"
"Szczucin","MP","Szczucin"
"Szczuczyn","PODL","Szczuczyn"
"Szczyrk","POM","Szczyrk"
"Szczytna","DS","Szczytna"
"Szczytno","WM","Szczytno"
"Szepietowo","PODL","Szepietowo"
"Szklarska_Poreba","DS","Szklarska Poręba"
"Szlichtyngowa","LUBU","Szlichtyngowa"
"Szprotawa","LUBU","Szprotawa"
"Sztum","POM","Sztum"
"Szubin","KP","Szubin"
"Szydlow","SW","Szydłów"
"Szydlowiec","MA","Szydłowiec"
"Sławno","ZA","Slawno"
"Słupca","WI","Slupca"
"Tarczyn","MA","Tarczyn"
"Tarnobrzeg","PODK","Tarnobrzeg"
"Tarnogrod","LUBE","Tarnogród"
"Tarnow","MP","Tarnów"
"Tarnowskie Gory","POM","Tarnowskie Góry"
"Tczew","POM","Tczew"
"Terespol","LUBE","Terespol"
"Tluszcz","MA","Tłuszcz"
"Tolkmicko","WM","Tolkmicko"
"Tomaszow_Lubelski","LUBE","Tomaszów Lubelski"
"Tomaszow_Mazowiecki","LD","Tomaszów Mazowiecki"
"Torun","KP","Toruń"
"Torzym","LUBU","Torzym"
"Toszek","POM","Toszek"
"Trzcianka","WI","Trzcianka"
"Trzciel","LUBU","Trzciel"
"Trzcińsko-Zdrój","ZA","Trzcinsko-Zdroj"
"Trzebiatów","ZA","Trzebiatow"
"Trzebinia","MP","Trzebinia"
"Trzebnica","DS","Trzebnica"
"Trzemeszno","WI","Trzemeszno"
"Tuchola","KP","Tuchola"
"Tuchow","MP","Tuchów"
"Tuczno","ZA","Tuczno"
"Tuliszków","WI","Tuliszkow"
"Turek","WI","Turek"
"Tuszyn","LD","Tuszyn"
"Twardogora","DS","Twardogóra"
"Tychowo","ZA","Tychowo"
"Tychy","POM","Tychy"
"Tyczyn","PODK","Tyczyn"
"Tykocin","PODL","Tykocin"
"Tyszowce","LUBE","Tyszowce"
"Ujście","WI","Ujscie"
"Ulanow","PODK","Ulanów"
"Uniejow","LD","Uniejów"
"Urzedow","LUBE","Urzędów"
"Ustka","POM","Ustka"
"Ustron","POM","Ustroń"
"Ustrzyki Dolne","PODK","Ustrzyki Dolne"
"Wabrzezno","KP","Wąbrzeźno"
"Wachock","SW","Wąchock"
"Wadowice","MP","Wadowice"
"Wągrowiec","WI","Wagrowiec"
"Walbrzych","DS","Wałbrzych"
"Warka","MA","Warka"
"Warszawa","MA","Warszawa"
"Warta","LD","Warta"
"Wasilkow","PODL","Wasilków"
"Wasosz","DS","Wąsosz"
"Wałcz","ZA","Walcz"
"Wegliniec","DS","Węgliniec"
"Wegorzewo","WM","Węgorzewo"
"Węgorzyno","ZA","Wegorzyno"
"Wegrow","MA","Węgrów"
"Wejherowo","POM","Wejherowo"
"Wiazow","DS","Wiązów"
"Wiecbork","KP","Więcbork"
"Wielbark","WM","Wielbark"
"Wieleń","WI","Wielen"
"Wielichowo","WI","Wielichowo"
"Wieliczka","MP","Wieliczka"
"Wielun","LD","Wieluń"
"Wieruszow","LD","Wieruszów"
"Wilamowice","POM","Wilamowice"
"Wisla","POM","Wisła"
"Wislica","SW","Wiślica"
"Witkowo","WI","Witkowo"
"Witnica","LUBU","Witnica"
"Wladyslawowo","POM","Władysławowo"
"Wlen","DS","Wleń"
"Wloclawek","KP","Włocławek"
"Wlodawa","LUBE","Włodawa"
"Wodzislaw Slaski","POM","Wodzisław Śląski"
"Wojcieszow","DS","Wojcieszów"
"Wojkowice","POM","Wojkowice"
"Wojnicz","MP","Wojnicz"
"Wolborz","LD","Wolbórz"
"Wolbrom","MP","Wolbrom"
"Wolin","ZA","Wolin"
"Wolomin","MA","Wołomin"
"Wolow","DS","Wołów"
"Wolsztyn","WI","Wolsztyn"
"Wozniki","POM","Woźniki"
"Wroclaw","DS","Wrocław"
"Wronki","WI","Wronki"
"Września","WI","Wrzesnia"
"Wschowa","LUBU","Wschowa"
"Wyrzysk","WI","Wyrzysk"
"Wysmierzyce","MA","Wyśmierzyce"
"Wysoka","WI","Wysoka"
"Wysokie Mazowieckie","PODL","Wysokie Mazowieckie"
"Wyszkow","MA","Wyszków"
"Wyszogrod","MA","Wyszogród"
"Zabki","MA","Ząbki"
"Zabkowice_Slaskie","DS","Ząbkowice Śląskie"
"Zabludow","PODL","Zabłudów"
"Zabno","MP","Żabno"
"Zabrze","POM","Zabrze"
"Zagan","LUBU","Żagań"
"Zagórów","WI","Zagorow"
"Zagorz","PODK","Zagórz"
"Zakliczyn","MP","Zakliczyn"
"Zaklikow","PODK","Zaklików"
"Zakopane","MP","Zakopane"
"Zakroczym","MA","Zakroczym"
"Zalewo","WM","Zalewo"
"Zambrow","PODL","Zambrów"
"Zamosc","LUBE","Zamość"
"Zarki","POM","Żarki"
"Zarow","DS","Żarów"
"Zary","LUBU","Żary"
"Zator","MP","Zator"
"Zawidow","DS","Zawidów"
"Zawiercie","POM","Zawiercie"
"Zbąszyń","WI","Zbaszyn"
"Zbaszynek","LUBU","Zbąszynek"
"Zdunska_Wola","LD","Zduńska Wola"
"Zduny","WI","Zduny"
"Zelechow","MA","Żelechów"
"Zelow","LD","Zelów"
"Żerków","WI","Zerkow"
"Zgierz","LD","Zgierz"
"Zgorzelec","DS","Zgorzelec"
"Ziebice","DS","Ziębice"
"Zielona_Gora","LUBU","Zielona Góra"
"Zielonka","MA","Zielonka"
"Zloczew","LD","Złoczew"
"Zlotoryja","DS","Złotoryja"
"Zloty_Stok","DS","Złoty Stok"
"Zmigrod","DS","Żmigród"
"Znin","KP","Żnin"
"Zory","POM","Żory"
"Zukowo","POM","Żukowo"
"Zuromin","MA","Żuromin"
"Zwierzyniec","LUBE","Zwierzyniec"
"Zwolen","MA","Zwoleń"
"Zychlin","LD","Żychlin"
"Zyrardow","MA","Żyrardów"
"Zywiec","POM","Żywiec"
"Złocieniec","ZA","Zlocieniec"
"Złotów","WI","Zlotow"
"Łobez","ZA","Lobez"
"Łobżenica","WI","Lobzenica"
